model,doc_a,doc_b,cosine
nomic-embed-text,개발/API설계.md,개발/README.md,0.767593
nomic-embed-text,개발/API설계.md,개발/그래프설계.md,0.753526
nomic-embed-text,개발/API설계.md,개발/벡터설계.md,0.752593
nomic-embed-text,개발/API설계.md,개발/아키텍처.md,0.809131
nomic-embed-text,개발/API설계.md,개발/테스트전략.md,0.743920
nomic-embed-text,개발/API설계.md,기타/메모.md,0.731093
nomic-embed-text,개발/API설계.md,마케팅/고객설문분석.md,0.739627
nomic-embed-text,개발/API설계.md,마케팅/브랜드가이드.md,0.768172
nomic-embed-text,개발/API설계.md,마케팅/소셜미디어전략.md,0.758824
nomic-embed-text,개발/API설계.md,마케팅/캠페인기획.md,0.762785
nomic-embed-text,개발/API설계.md,마케팅/파트너십제휴.md,0.741400
nomic-embed-text,개발/API설계.md,법무/계약검토메모.md,0.719094
nomic-embed-text,개발/API설계.md,인사/복지제도.md,0.732317
nomic-embed-text,개발/API설계.md,인사/온보딩.md,0.755535
nomic-embed-text,개발/API설계.md,인사/조직개편.md,0.751480
nomic-embed-text,개발/API설계.md,인사/채용계획.md,0.719706
nomic-embed-text,개발/API설계.md,인사/평가제도.md,0.752222
nomic-embed-text,개발/API설계.md,재무/감사대응.md,0.743019
nomic-embed-text,개발/API설계.md,재무/예산계획.md,0.733223
nomic-embed-text,개발/API설계.md,재무/원가분석.md,0.745866
nomic-embed-text,개발/API설계.md,재무/지출보고.md,0.742803
nomic-embed-text,개발/API설계.md,재무/투자계획.md,0.747515
nomic-embed-text,개발/API설계.md,재무/회계정책.md,0.750895
nomic-embed-text,개발/README.md,개발/그래프설계.md,0.887061
nomic-embed-text,개발/README.md,개발/벡터설계.md,0.817816
nomic-embed-text,개발/README.md,개발/아키텍처.md,0.833509
nomic-embed-text,개발/README.md,개발/테스트전략.md,0.837368
nomic-embed-text,개발/README.md,기타/메모.md,0.860055
nomic-embed-text,개발/README.md,마케팅/고객설문분석.md,0.885900
nomic-embed-text,개발/README.md,마케팅/브랜드가이드.md,0.913999
nomic-embed-text,개발/README.md,마케팅/소셜미디어전략.md,0.906826
nomic-embed-text,개발/README.md,마케팅/캠페인기획.md,0.863154
nomic-embed-text,개발/README.md,마케팅/파트너십제휴.md,0.900474
nomic-embed-text,개발/README.md,법무/계약검토메모.md,0.867204
nomic-embed-text,개발/README.md,인사/복지제도.md,0.827340
nomic-embed-text,개발/README.md,인사/온보딩.md,0.891999
nomic-embed-text,개발/README.md,인사/조직개편.md,0.820968
nomic-embed-text,개발/README.md,인사/채용계획.md,0.789591
nomic-embed-text,개발/README.md,인사/평가제도.md,0.830466
nomic-embed-text,개발/README.md,재무/감사대응.md,0.855532
nomic-embed-text,개발/README.md,재무/예산계획.md,0.814324
nomic-embed-text,개발/README.md,재무/원가분석.md,0.867292
nomic-embed-text,개발/README.md,재무/지출보고.md,0.845295
nomic-embed-text,개발/README.md,재무/투자계획.md,0.811268
nomic-embed-text,개발/README.md,재무/회계정책.md,0.861401
nomic-embed-text,개발/그래프설계.md,개발/벡터설계.md,0.838199
nomic-embed-text,개발/그래프설계.md,개발/아키텍처.md,0.817351
nomic-embed-text,개발/그래프설계.md,개발/테스트전략.md,0.827413
nomic-embed-text,개발/그래프설계.md,기타/메모.md,0.831500
nomic-embed-text,개발/그래프설계.md,마케팅/고객설문분석.md,0.839469
nomic-embed-text,개발/그래프설계.md,마케팅/브랜드가이드.md,0.880002
nomic-embed-text,개발/그래프설계.md,마케팅/소셜미디어전략.md,0.872289
nomic-embed-text,개발/그래프설계.md,마케팅/캠페인기획.md,0.834033
nomic-embed-text,개발/그래프설계.md,마케팅/파트너십제휴.md,0.882795
nomic-embed-text,개발/그래프설계.md,법무/계약검토메모.md,0.840766
nomic-embed-text,개발/그래프설계.md,인사/복지제도.md,0.795433
nomic-embed-text,개발/그래프설계.md,인사/온보딩.md,0.865232
nomic-embed-text,개발/그래프설계.md,인사/조직개편.md,0.799244
nomic-embed-text,개발/그래프설계.md,인사/채용계획.md,0.763741
nomic-embed-text,개발/그래프설계.md,인사/평가제도.md,0.795638
nomic-embed-text,개발/그래프설계.md,재무/감사대응.md,0.819569
nomic-embed-text,개발/그래프설계.md,재무/예산계획.md,0.782826
nomic-embed-text,개발/그래프설계.md,재무/원가분석.md,0.831710
nomic-embed-text,개발/그래프설계.md,재무/지출보고.md,0.803502
nomic-embed-text,개발/그래프설계.md,재무/투자계획.md,0.777489
nomic-embed-text,개발/그래프설계.md,재무/회계정책.md,0.821786
nomic-embed-text,개발/벡터설계.md,개발/아키텍처.md,0.825290
nomic-embed-text,개발/벡터설계.md,개발/테스트전략.md,0.785443
nomic-embed-text,개발/벡터설계.md,기타/메모.md,0.809248
nomic-embed-text,개발/벡터설계.md,마케팅/고객설문분석.md,0.779684
nomic-embed-text,개발/벡터설계.md,마케팅/브랜드가이드.md,0.834980
nomic-embed-text,개발/벡터설계.md,마케팅/소셜미디어전략.md,0.808961
nomic-embed-text,개발/벡터설계.md,마케팅/캠페인기획.md,0.793318
nomic-embed-text,개발/벡터설계.md,마케팅/파트너십제휴.md,0.808169
nomic-embed-text,개발/벡터설계.md,법무/계약검토메모.md,0.811551
nomic-embed-text,개발/벡터설계.md,인사/복지제도.md,0.788760
nomic-embed-text,개발/벡터설계.md,인사/온보딩.md,0.839855
nomic-embed-text,개발/벡터설계.md,인사/조직개편.md,0.769281
nomic-embed-text,개발/벡터설계.md,인사/채용계획.md,0.780392
nomic-embed-text,개발/벡터설계.md,인사/평가제도.md,0.792169
nomic-embed-text,개발/벡터설계.md,재무/감사대응.md,0.789474
nomic-embed-text,개발/벡터설계.md,재무/예산계획.md,0.777128
nomic-embed-text,개발/벡터설계.md,재무/원가분석.md,0.788506
nomic-embed-text,개발/벡터설계.md,재무/지출보고.md,0.745867
nomic-embed-text,개발/벡터설계.md,재무/투자계획.md,0.737415
nomic-embed-text,개발/벡터설계.md,재무/회계정책.md,0.774554
nomic-embed-text,개발/아키텍처.md,개발/테스트전략.md,0.772662
nomic-embed-text,개발/아키텍처.md,기타/메모.md,0.823299
nomic-embed-text,개발/아키텍처.md,마케팅/고객설문분석.md,0.802768
nomic-embed-text,개발/아키텍처.md,마케팅/브랜드가이드.md,0.835734
nomic-embed-text,개발/아키텍처.md,마케팅/소셜미디어전략.md,0.842932
nomic-embed-text,개발/아키텍처.md,마케팅/캠페인기획.md,0.808473
nomic-embed-text,개발/아키텍처.md,마케팅/파트너십제휴.md,0.827783
nomic-embed-text,개발/아키텍처.md,법무/계약검토메모.md,0.795195
nomic-embed-text,개발/아키텍처.md,인사/복지제도.md,0.772803
nomic-embed-text,개발/아키텍처.md,인사/온보딩.md,0.844055
nomic-embed-text,개발/아키텍처.md,인사/조직개편.md,0.776623
nomic-embed-text,개발/아키텍처.md,인사/채용계획.md,0.752874
nomic-embed-text,개발/아키텍처.md,인사/평가제도.md,0.772072
nomic-embed-text,개발/아키텍처.md,재무/감사대응.md,0.780449
nomic-embed-text,개발/아키텍처.md,재무/예산계획.md,0.757739
nomic-embed-text,개발/아키텍처.md,재무/원가분석.md,0.801327
nomic-embed-text,개발/아키텍처.md,재무/지출보고.md,0.758351
nomic-embed-text,개발/아키텍처.md,재무/투자계획.md,0.762446
nomic-embed-text,개발/아키텍처.md,재무/회계정책.md,0.794693
nomic-embed-text,개발/테스트전략.md,기타/메모.md,0.808940
nomic-embed-text,개발/테스트전략.md,마케팅/고객설문분석.md,0.790096
nomic-embed-text,개발/테스트전략.md,마케팅/브랜드가이드.md,0.815220
nomic-embed-text,개발/테스트전략.md,마케팅/소셜미디어전략.md,0.812269
nomic-embed-text,개발/테스트전략.md,마케팅/캠페인기획.md,0.791570
nomic-embed-text,개발/테스트전략.md,마케팅/파트너십제휴.md,0.832408
nomic-embed-text,개발/테스트전략.md,법무/계약검토메모.md,0.792812
nomic-embed-text,개발/테스트전략.md,인사/복지제도.md,0.757368
nomic-embed-text,개발/테스트전략.md,인사/온보딩.md,0.805182
nomic-embed-text,개발/테스트전략.md,인사/조직개편.md,0.751117
nomic-embed-text,개발/테스트전략.md,인사/채용계획.md,0.723501
nomic-embed-text,개발/테스트전략.md,인사/평가제도.md,0.740356
nomic-embed-text,개발/테스트전략.md,재무/감사대응.md,0.764599
nomic-embed-text,개발/테스트전략.md,재무/예산계획.md,0.744274
nomic-embed-text,개발/테스트전략.md,재무/원가분석.md,0.774933
nomic-embed-text,개발/테스트전략.md,재무/지출보고.md,0.749309
nomic-embed-text,개발/테스트전략.md,재무/투자계획.md,0.754210
nomic-embed-text,개발/테스트전략.md,재무/회계정책.md,0.781359
nomic-embed-text,기타/메모.md,마케팅/고객설문분석.md,0.842890
nomic-embed-text,기타/메모.md,마케팅/브랜드가이드.md,0.881377
nomic-embed-text,기타/메모.md,마케팅/소셜미디어전략.md,0.889899
nomic-embed-text,기타/메모.md,마케팅/캠페인기획.md,0.876877
nomic-embed-text,기타/메모.md,마케팅/파트너십제휴.md,0.892767
nomic-embed-text,기타/메모.md,법무/계약검토메모.md,0.892204
nomic-embed-text,기타/메모.md,인사/복지제도.md,0.848926
nomic-embed-text,기타/메모.md,인사/온보딩.md,0.878240
nomic-embed-text,기타/메모.md,인사/조직개편.md,0.849440
nomic-embed-text,기타/메모.md,인사/채용계획.md,0.825584
nomic-embed-text,기타/메모.md,인사/평가제도.md,0.849622
nomic-embed-text,기타/메모.md,재무/감사대응.md,0.841478
nomic-embed-text,기타/메모.md,재무/예산계획.md,0.810024
nomic-embed-text,기타/메모.md,재무/원가분석.md,0.850052
nomic-embed-text,기타/메모.md,재무/지출보고.md,0.815610
nomic-embed-text,기타/메모.md,재무/투자계획.md,0.779235
nomic-embed-text,기타/메모.md,재무/회계정책.md,0.834877
nomic-embed-text,마케팅/고객설문분석.md,마케팅/브랜드가이드.md,0.875334
nomic-embed-text,마케팅/고객설문분석.md,마케팅/소셜미디어전략.md,0.899854
nomic-embed-text,마케팅/고객설문분석.md,마케팅/캠페인기획.md,0.886814
nomic-embed-text,마케팅/고객설문분석.md,마케팅/파트너십제휴.md,0.892437
